,Código do fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,Dividend Yield,DY (3M) Acumulado,DY (6M) Acumulado,DY (12M) Acumulado,DY (3M) Média,DY (6M) Média,DY (12M) Média,DY Ano,Variação Preço,Rentab. Período,Rentab. Acumulada,Patrimônio Líq.,VPA,P/VPA,DY Patrimonial,Variação Patrimonial,Rentab. Patr. no Período,Rentab. Patr. Acumulada,Vacância Física,Vacância Financeira,Quantidade Ativos
263,VJFD11,Híbrido,"R$ 96,35",61550.0,"R$ 1,02","1,06%","1,06%","1,06%","0,00%","0,35%","0,18%","0,00%","1,06%","0,00%","1,06%","1,06%","R$ 647.729.783,52","R$ 132,84",0.73,"0,77%","0,03%","0,80%","2,43%",,,0
264,VJFD11,Híbrido,"R$ 96,25",47420.0,"R$ 1,02","1,06%","1,06%","1,06%","0,00%","0,35%","0,18%","0,00%","1,06%","0,00%","1,06%","1,06%","R$ 647.729.783,52","R$ 132,84",0.72,"0,77%","0,03%","0,80%","2,43%",,,0
265,VJFD11,Híbrido,"R$ 96,25",39240.0,"R$ 1,02","1,06%","1,06%","1,06%","0,00%","0,35%","0,18%","0,00%","1,06%","0,00%","1,06%","1,06%","R$ 647.729.783,52","R$ 132,84",0.72,"0,77%","0,03%","0,80%","2,43%",,,0
266,VJFD11,Híbrido,"R$ 96,33",27460.0,"R$ 1,02","1,06%","1,06%","1,06%","0,00%","0,35%","0,18%","0,00%","1,06%","0,00%","1,06%","1,06%","R$ 647.729.783,52","R$ 132,84",0.73,"0,77%","0,03%","0,80%","2,43%",,,0
267,VJFD11,Híbrido,"R$ 96,32",54100.0,"R$ 1,02","1,06%","1,06%","1,06%","0,00%","0,35%","0,18%","0,00%","1,06%","0,00%","1,06%","1,06%","R$ 647.729.783,52","R$ 132,84",0.73,"0,77%","0,03%","0,80%","2,43%",,,0
268,FVPQ11,Shoppings,"R$ 101,10",2480.0,"R$ 0,55","0,52%","1,83%","3,55%","7,78%","0,61%","0,59%","0,65%","7,10%","-9,81%","-9,33%","10,59%","R$ 556.120.262,60","R$ 198,60",0.51,"0,28%","-0,03%","0,25%","4,39%","5,50%",,1
269,HGCR11,Títulos e Val. Mob.,"R$ 100,75",291950.0,"R$ 1,20","1,17%","3,55%","7,05%","13,29%","1,18%","1,18%","1,11%","13,29%","1,66%","2,85%","5,82%","R$ 1.560.262.166,70","R$ 101,20",1.0,"1,19%","-1,20%","-0,03%","12,64%",,,0
270,HGLG11,Logística,"R$ 160,72",428920.0,"R$ 1,10","0,68%","2,00%","5,30%","9,64%","0,67%","0,88%","0,80%","8,62%","-1,96%","-1,30%","4,19%","R$ 3.466.816.466,82","R$ 147,80",1.09,"0,74%","0,37%","1,11%","9,68%","6,90%","6,50%",17
271,VIFI11,Títulos e Val. Mob.,"R$ 6,90",125100.0,"R$ 0,06","0,83%","2,42%","4,96%","10,10%","0,81%","0,83%","0,84%","9,23%","-4,38%","-3,58%","1,32%","R$ 71.906.199,08","R$ 8,89",0.78,"0,67%","-5,14%","-4,50%","-69,51%",,,0
272,MXRF11,Híbrido,"R$ 9,95",5796510.0,"R$ 0,08","0,80%","2,80%","6,07%","12,38%","0,93%","1,01%","1,03%","12,38%","-2,53%","-1,75%","24,29%","R$ 2.282.646.736,06","R$ 10,10",0.99,"0,79%","-0,97%","-0,18%","4,70%",,,0
273,BTWR11,Lajes Corporativas,"R$ 105,49",6710.0,"R$ 0,42","0,40%","1,26%","2,05%","3,56%","0,42%","0,34%","0,30%","3,56%","0,00%","0,40%","2,15%","R$ 90.555.302,30","R$ 111,90",0.94,"0,38%","0,23%","0,61%","7,24%","12,00%",,1
274,KISU11,Títulos e Val. Mob.,"R$ 7,79",1574260.0,"R$ 0,08","0,92%","2,72%","5,76%","10,98%","0,91%","0,96%","0,92%","10,12%","-2,04%","-1,14%","10,86%","R$ 388.551.604,86","R$ 8,79",0.89,"0,85%","-5,26%","-4,46%","2,09%",,,0
275,TRXF11,Outros,"R$ 102,45",216930.0,"R$ 0,85","0,81%","2,37%","5,03%","9,97%","0,79%","0,84%","0,83%","9,08%","-4,22%","-3,44%","13,07%","R$ 897.393.209,05","R$ 101,04",1.01,"0,84%","0,23%","1,07%","9,94%","0,00%",,44
276,CXCO11,Lajes Corporativas,"R$ 68,04",48800.0,"R$ 0,72","1,03%","2,89%","5,74%","10,93%","0,96%","0,96%","0,91%","10,13%","-8,74%","-7,80%","-4,45%","R$ 379.121.044,03","R$ 96,60",0.7,"0,75%","0,03%","0,77%","8,83%",,,0
277,XPSF11,Outros,"R$ 7,14",1015740.0,"R$ 0,08","1,06%","3,08%","6,00%","11,43%","1,03%","1,00%","0,95%","10,58%","-4,22%","-3,21%","-89,85%","R$ 369.792.382,05","R$ 8,54",0.84,"0,90%","-4,04%","-3,18%","-89,40%",,,0
278,HOSI11,Híbrido,"R$ 57,90",60.0,"R$ 0,43","0,68%","2,05%","3,86%","7,12%","0,68%","0,64%","0,59%","6,37%","-0,80%","-0,13%","-7,30%","R$ 53.442.769,27","R$ 93,20",0.62,"0,46%","0,26%","0,72%","5,35%",,,2
279,JSRE11,Híbrido,"R$ 69,07",307210.0,"R$ 0,49","0,67%","1,81%","3,67%","7,59%","0,60%","0,61%","0,63%","6,95%","-15,12%","-14,55%","-1,65%","R$ 2.355.388.202,91","R$ 113,42",0.61,"0,43%","0,00%","0,44%","4,34%","14,80%","13,40%",5
280,HGFF11,Títulos e Val. Mob.,"R$ 72,10",45510.0,"R$ 0,65","0,86%","2,46%","5,05%","9,92%","0,82%","0,84%","0,83%","9,15%","-6,30%","-5,50%","9,24%","R$ 250.418.653,25","R$ 87,45",0.82,"0,74%","-5,38%","-4,67%","5,29%",,,0
